age,annual_income,education_level,city_type,daily_commute_km,weekly_travel_distance_km,current_vehicle_type,vehicle_age_years,fuel_expense_per_month,charging_station_accessibility,nearest_charging_station_km,home_charging_available,electricity_cost_per_kwh,environmental_awareness_score,government_incentive_awareness,technology_affinity_score,range_anxiety_score,battery_replacement_concern,ev_knowledge_score,previous_ev_experience,ev_adoption_likelihood,monthly_energy_consumption_kwh,monthly_charging_cost
59,21202.0,Master,Rural,10.3,68.6,Sedan,5.7,8.6,6.9,8.6,1,0.09,6.1,9.5,5.1,5.5,8.0,5.0,0,Medium,54.3,5.1
47,49049.0,Master,Urban,25.5,157.5,Hatchback,8.6,184.2,8.3,6.5,1,0.21,6.0,3.9,6.1,9.6,5.3,5.0,0,Medium,155.8,32.2
46,26350.0,High School,Suburban,60.6,366.4,Hatchback,7.6,561.8,3.1,9.7,1,0.13,8.7,4.9,9.9,3.8,4.9,10.0,1,High,366.7,48.7
27,45213.0,High School,Urban,37.9,291.1,Hatchback,11.2,342.6,6.0,0.5,1,0.08,9.9,6.5,6.8,4.5,4.8,9.8,0,High,188.2,15.6
35,19136.0,Bachelor,Urban,31.5,167.2,Sedan,7.4,275.5,10.0,6.4,1,0.08,7.6,5.8,4.8,5.4,2.6,5.9,0,High,151.4,12.8
68,47737.0,High School,Suburban,36.9,282.3,Sedan,6.5,292.6,6.6,8.9,1,0.1,7.8,6.0,7.3,4.0,4.7,7.1,0,Medium,243.0,23.4
35,26207.0,Bachelor,Urban,59.3,331.8,Truck,13.2,419.8,7.5,1.1,1,0.15,4.1,4.9,5.9,9.8,4.0,4.4,0,Medium,233.1,35.2
67,26113.0,Bachelor,Urban,22.6,172.7,Sedan,9.2,150.8,6.2,0.5,1,0.21,6.1,8.8,3.2,9.3,4.7,4.5,0,Medium,171.8,36.5
39,11313.0,Bachelor,Urban,62.9,455.3,Truck,6.4,505.0,6.4,3.0,1,0.33,5.9,7.4,5.4,7.8,6.4,6.3,1,Medium,324.5,108.2
34,7285.0,High School,Suburban,28.7,220.5,Hatchback,8.3,221.4,5.8,12.1,1,0.3,4.6,6.7,7.0,7.9,6.3,5.5,0,Low,208.3,62.1
69,48443.0,High School,Urban,18.2,111.7,Sedan,8.9,193.0,7.9,5.0,1,0.22,8.7,6.2,8.4,5.1,3.4,8.3,0,High,101.0,22.1
32,34182.0,Bachelor,Urban,47.1,271.2,Truck,7.6,370.1,6.5,0.5,0,0.16,5.1,7.8,6.8,7.6,3.9,5.2,0,Medium,239.0,37.7
65,37532.0,PhD,Urban,33.3,189.6,Sedan,6.1,228.5,10.0,3.9,0,0.33,3.9,7.0,3.5,5.9,6.4,3.6,0,Low,138.2,45.1
51,23383.0,High School,Suburban,47.0,355.3,Sedan,6.4,390.1,3.4,12.2,1,0.15,3.7,7.7,4.5,5.1,3.4,5.3,0,Medium,324.9,47.6
41,84564.0,Bachelor,Urban,40.0,263.0,Hatchback,2.9,396.2,9.3,8.8,1,0.15,7.6,4.6,5.5,7.7,3.8,7.2,0,Medium,259.2,39.5
22,85400.0,Master,Suburban,36.3,192.0,SUV,9.4,336.8,7.5,5.9,0,0.22,7.2,9.0,8.2,4.2,3.2,7.3,0,High,134.3,29.6
41,76904.0,Master,Urban,23.2,121.8,Sedan,6.0,177.5,7.7,1.9,0,0.26,9.1,5.3,9.9,2.4,5.8,8.1,0,High,85.9,22.4
29,23972.0,Bachelor,Urban,37.1,246.8,SUV,7.3,275.2,7.5,8.9,1,0.25,8.7,4.3,6.4,3.8,5.2,8.2,0,High,178.7,45.1
24,30188.0,Bachelor,Suburban,57.6,289.2,Sedan,4.5,484.4,3.0,2.9,0,0.19,5.1,5.4,8.1,3.2,2.0,8.3,0,High,178.6,33.3
69,28229.0,Bachelor,Urban,52.7,312.0,Hatchback,9.7,512.1,4.8,0.5,1,0.14,5.4,5.5,5.5,6.9,3.2,5.7,0,Medium,281.9,38.4
28,26462.0,Bachelor,Suburban,5.0,28.6,Hatchback,5.1,-20.4,3.5,9.5,1,0.19,4.9,8.1,6.1,5.8,4.3,5.3,0,Medium,22.2,4.2
40,46209.0,Master,Urban,48.1,292.1,Truck,6.8,417.2,9.0,0.5,0,0.26,6.8,5.8,4.1,7.9,5.5,2.9,0,Low,295.3,77.1
62,51954.0,Bachelor,Suburban,14.9,101.2,Hatchback,4.1,171.9,8.0,8.5,1,0.25,8.2,5.1,5.8,2.3,2.2,9.2,0,High,100.9,25.4
34,10886.0,Bachelor,Urban,8.3,64.0,Sedan,5.4,110.2,8.9,0.5,0,0.2,2.7,3.1,2.3,7.0,7.9,3.4,0,Low,47.2,9.4
29,43039.0,Bachelor,Suburban,35.8,222.9,Sedan,0.4,360.3,8.3,9.3,0,0.1,5.0,4.7,6.1,4.2,1.8,5.4,0,High,146.4,14.3
26,22058.0,Master,Rural,37.4,213.2,Hatchback,6.4,353.3,3.8,17.6,1,0.12,7.2,4.2,4.5,4.7,6.0,5.9,0,Low,187.9,23.1
27,22242.0,Bachelor,Urban,32.6,170.6,SUV,4.6,230.7,6.1,0.5,1,0.12,5.9,5.8,5.0,5.4,3.2,5.0,0,High,137.6,16.4
38,24786.0,High School,Rural,42.9,265.3,SUV,2.6,322.0,6.6,7.8,1,0.29,8.5,6.8,9.7,3.5,5.8,7.9,0,High,194.3,56.9
53,65287.0,Master,Rural,17.6,99.8,SUV,0.0,193.2,3.5,12.1,1,0.18,5.3,6.6,9.6,3.3,2.3,5.9,0,High,82.5,15.0
62,18726.0,Master,Suburban,8.9,45.9,SUV,9.1,68.2,7.8,5.8,0,0.19,5.6,7.4,5.0,4.3,5.8,5.9,0,Medium,43.9,8.3
39,56021.0,Bachelor,Urban,34.6,190.0,SUV,6.8,268.3,6.8,5.3,1,0.17,7.3,4.4,9.2,6.0,2.6,7.6,0,High,185.0,31.1
25,22664.0,Master,Suburban,39.6,231.9,Sedan,7.6,302.1,5.6,13.4,1,0.15,9.5,2.2,5.4,2.5,4.8,7.1,1,High,198.3,29.8
59,59445.0,High School,Urban,33.2,176.4,Sedan,5.0,274.1,9.4,4.2,0,0.24,5.7,6.4,5.6,9.0,1.8,5.0,1,High,119.7,29.0
63,53720.0,Master,Suburban,32.1,216.6,SUV,2.7,342.8,3.2,1.6,0,0.3,4.9,7.5,5.9,8.9,6.8,5.6,0,Low,178.8,54.2
42,60326.0,High School,Urban,58.0,370.8,Sedan,6.3,458.0,7.6,14.2,0,0.19,9.9,8.1,8.6,2.5,6.9,10.0,0,High,232.6,44.9
26,25406.0,Bachelor,Urban,26.9,204.2,SUV,9.3,252.1,3.8,4.4,0,0.3,5.1,9.0,8.6,4.4,5.9,7.1,0,Medium,142.1,43.0
33,20330.0,Master,Urban,25.5,143.6,Truck,0.8,183.8,7.0,5.4,1,0.08,5.8,5.9,5.8,5.7,3.6,5.5,0,High,106.8,8.8
42,34575.0,Master,Urban,44.6,223.6,Hatchback,2.7,395.8,8.2,4.4,0,0.17,4.1,7.1,5.9,8.4,6.3,3.4,0,Medium,176.2,30.0
22,44528.0,High School,Suburban,81.9,616.7,SUV,12.6,692.1,3.0,15.0,1,0.32,3.5,5.1,4.6,8.2,3.2,4.2,1,Low,438.8,139.1
41,70952.0,High School,Suburban,38.3,234.9,Hatchback,11.5,341.5,7.6,10.1,0,0.09,6.3,4.8,6.2,4.8,9.2,5.4,0,Medium,168.0,14.3
50,91532.0,Bachelor,Urban,39.5,208.7,Sedan,11.3,320.3,10.0,0.5,1,0.16,8.9,6.4,8.9,3.2,5.7,8.9,0,High,164.3,26.7
28,62475.0,Bachelor,Rural,17.3,115.5,SUV,1.7,218.5,5.4,6.3,1,0.2,9.5,3.9,8.7,3.5,5.6,8.3,0,High,74.4,15.2
31,84185.0,Master,Suburban,18.9,119.3,Hatchback,9.9,128.2,2.4,9.1,1,0.15,8.7,6.9,7.0,2.3,1.0,7.7,0,High,107.0,16.4
34,53286.0,High School,Suburban,55.7,399.0,SUV,9.2,473.7,4.0,8.2,0,0.14,7.8,5.8,8.7,2.6,1.0,9.6,0,High,304.1,42.3
50,63962.0,Bachelor,Urban,40.2,257.9,Sedan,5.6,221.9,7.5,2.0,1,0.3,6.0,6.1,8.2,2.4,7.3,7.3,1,High,202.9,61.0
35,31722.0,Bachelor,Rural,29.7,201.4,Truck,8.5,236.0,5.0,12.2,1,0.17,8.5,9.7,9.4,4.3,3.3,10.0,0,High,149.4,26.1
28,67058.0,,Suburban,55.5,407.8,Hatchback,8.8,422.4,6.2,13.6,1,0.08,5.7,5.5,9.0,3.8,3.6,6.9,0,High,246.9,20.0
34,124125.0,Master,Rural,22.9,155.9,Sedan,6.7,200.5,1.0,15.9,1,0.26,7.9,4.8,9.9,2.1,7.4,10.0,0,High,155.4,40.2
32,34832.0,Master,Suburban,5.0,26.8,SUV,4.1,19.1,3.3,4.2,1,0.22,5.3,7.2,8.8,3.0,4.7,,0,High,27.0,5.9
31,28992.0,,Suburban,35.1,278.4,SUV,6.9,316.8,5.9,7.0,1,0.34,6.1,10.0,6.4,8.0,1.6,7.1,0,High,221.7,76.3
26,34611.0,Master,Suburban,42.3,327.5,Truck,6.4,358.9,6.6,9.8,0,0.11,7.3,2.6,8.6,4.2,4.6,9.0,0,High,207.0,23.2
59,42844.0,Bachelor,Rural,62.2,467.0,Truck,5.8,541.0,5.0,6.3,0,0.21,6.8,10.0,4.2,6.7,7.8,7.3,0,Medium,430.7,91.5
39,30633.0,Master,Suburban,37.2,214.2,Hatchback,6.8,313.4,6.2,8.6,0,0.3,6.7,3.9,5.5,8.5,10.0,5.5,0,Low,144.1,43.5
57,38453.0,High School,Rural,31.8,176.9,Hatchback,6.1,295.3,1.0,2.3,1,0.22,8.3,4.8,5.7,2.5,5.9,6.1,1,High,132.9,28.7
28,13931.0,Bachelor,Rural,13.7,71.3,SUV,0.0,165.7,8.6,7.4,1,0.26,3.3,1.9,5.3,6.8,2.5,1.7,1,Medium,69.7,17.9
30,56846.0,Bachelor,Urban,30.9,185.3,Sedan,0.1,297.4,10.0,0.5,1,0.1,6.3,7.6,8.6,2.1,4.9,9.1,1,High,155.5,15.1
36,17239.0,Master,Urban,23.6,174.5,Sedan,3.4,198.5,5.9,2.5,0,0.33,5.8,4.8,5.7,7.1,6.3,5.1,0,Low,148.7,49.3
32,20807.0,High School,Suburban,36.1,200.0,Truck,5.3,264.1,4.2,11.2,0,0.2,6.4,7.5,3.1,10.0,6.4,4.3,0,Low,182.2,36.9
33,98277.0,High School,Urban,28.3,196.4,Hatchback,8.9,220.4,6.7,4.2,1,0.19,8.4,7.7,9.6,4.6,2.3,8.9,0,High,134.7,25.5
59,27697.0,High School,Rural,60.9,426.6,Hatchback,1.0,524.2,5.2,6.3,1,0.2,7.0,7.8,5.5,5.2,4.1,5.3,1,High,288.2,57.8
22,28805.0,Bachelor,Urban,35.0,215.3,Truck,2.5,304.8,7.8,8.5,1,0.21,5.4,1.9,8.8,3.7,4.9,6.6,0,High,137.1,29.0
38,121957.0,Bachelor,Suburban,56.3,298.6,SUV,4.0,442.2,3.9,13.6,1,0.1,8.6,10.0,5.3,3.8,6.2,7.6,0,High,262.6,25.5
46,51035.0,Master,Urban,28.3,142.2,SUV,6.3,248.1,7.5,2.0,1,0.25,6.8,9.5,7.5,3.3,5.2,7.0,0,High,137.8,34.0
24,55258.0,Master,Urban,54.1,368.4,SUV,6.6,509.9,7.1,4.9,1,0.32,8.7,7.9,8.3,2.8,6.9,9.0,1,High,235.7,76.5
28,38134.0,Bachelor,Suburban,36.3,262.1,Sedan,1.8,262.1,7.4,11.6,1,0.25,7.9,7.0,9.7,5.0,6.1,9.7,0,High,235.6,59.1
22,41252.0,High School,Suburban,46.1,254.5,Sedan,4.8,391.0,7.8,10.7,0,0.26,7.3,6.4,3.9,8.3,3.7,5.4,0,Medium,243.3,63.5
48,69260.0,Bachelor,Suburban,22.7,174.1,Truck,9.6,134.2,8.2,9.0,1,0.13,5.2,5.3,6.7,4.0,4.0,7.2,0,High,115.2,15.3
60,83359.0,Bachelor,Urban,42.8,270.8,Truck,1.6,322.8,7.3,9.0,1,0.24,9.6,6.7,6.5,3.3,4.7,7.2,0,High,239.9,57.4
50,43571.0,High School,Urban,37.8,213.5,Hatchback,5.4,333.2,7.5,1.9,1,0.24,7.7,6.0,8.2,4.2,8.1,9.4,0,High,172.1,41.7
29,32184.0,Master,Suburban,58.1,292.5,SUV,3.8,466.5,1.0,12.3,1,0.15,5.8,6.5,3.1,9.2,10.0,5.5,0,Low,273.2,40.0
31,46818.0,High School,Urban,22.3,168.6,Hatchback,3.8,230.5,8.9,3.0,1,0.27,6.5,6.8,9.9,3.7,3.1,9.5,0,High,152.6,41.2
62,73017.0,Bachelor,Urban,51.5,380.8,Sedan,4.7,435.7,5.6,0.5,1,0.2,6.7,8.1,8.2,3.3,6.4,6.5,1,High,302.9,59.1
61,71095.0,Master,Urban,39.5,315.7,Hatchback,7.0,317.0,4.2,0.5,0,0.15,8.9,4.2,8.3,5.9,2.9,7.7,0,Medium,269.2,41.3
53,30699.0,Bachelor,Suburban,26.3,202.3,Sedan,3.7,210.9,,8.1,0,0.18,7.5,5.1,4.5,5.3,6.1,6.5,1,Medium,148.3,26.7
33,34841.0,Master,Urban,14.9,75.2,Hatchback,10.1,115.2,6.6,0.5,1,0.15,5.3,10.0,5.8,6.7,3.9,5.8,0,High,69.6,10.4
25,56137.0,Bachelor,Rural,43.2,227.5,Sedan,6.2,403.3,6.8,11.7,1,0.34,8.6,3.8,8.1,2.5,7.3,9.1,0,High,174.6,58.9
41,13377.0,High School,Suburban,43.0,251.1,Hatchback,7.6,439.2,7.1,14.0,1,0.29,7.6,2.3,6.8,8.0,5.3,7.7,0,Low,160.9,46.4
53,21073.0,Bachelor,Suburban,53.6,303.7,Sedan,3.4,430.9,8.5,7.7,1,0.09,3.6,6.3,6.4,8.3,4.1,2.9,0,Medium,247.0,21.3
55,17992.0,Bachelor,Suburban,19.8,150.2,Truck,7.2,135.6,6.7,7.1,0,0.13,7.8,7.1,6.1,5.3,2.5,7.5,0,High,134.6,17.6
63,17432.0,High School,Rural,45.9,351.9,Sedan,7.3,385.2,7.1,19.3,1,0.11,6.2,4.4,7.6,5.2,3.2,6.6,0,Medium,293.6,33.6
36,22251.0,High School,Urban,21.0,141.8,Truck,4.4,238.7,7.2,1.5,1,0.1,7.0,4.0,8.9,5.8,5.1,7.3,1,High,118.4,11.7
48,58264.0,High School,Urban,42.6,232.4,Hatchback,9.7,368.6,4.4,0.5,0,0.17,9.6,5.7,8.3,4.6,4.8,9.3,0,High,210.4,35.2
53,58667.0,High School,Urban,48.3,258.7,Hatchback,3.9,438.9,8.4,0.5,1,0.28,8.4,6.6,8.6,3.4,3.7,7.6,0,High,229.7,63.8
49,63390.0,Bachelor,Rural,82.3,501.4,Sedan,0.0,778.8,7.5,8.0,1,0.33,8.7,7.5,8.8,5.3,6.1,8.6,1,High,343.5,114.6
24,26591.0,Bachelor,Rural,5.8,46.4,Sedan,0.1,-28.6,1.6,8.5,1,0.11,4.1,7.1,6.8,8.3,4.0,4.8,0,Medium,37.2,4.2
57,25511.0,Bachelor,Urban,36.1,240.5,Hatchback,8.7,314.5,8.2,7.6,1,0.17,9.9,1.2,8.9,2.2,4.4,10.0,0,High,240.6,40.2
65,25361.0,Bachelor,Rural,41.3,242.4,Sedan,0.0,377.1,2.8,14.7,1,0.16,6.5,3.3,4.2,5.8,6.6,3.6,0,Low,211.8,33.1
42,34169.0,Bachelor,Urban,31.5,249.5,Sedan,8.7,208.3,5.1,10.6,1,0.17,5.3,8.1,4.2,7.8,2.4,3.9,0,Medium,164.3,27.9
59,68837.0,Bachelor,Urban,46.9,321.5,Sedan,10.7,358.1,6.5,3.4,0,0.32,9.7,7.2,9.9,3.8,3.5,10.0,0,High,304.8,97.3
25,39485.0,Bachelor,Rural,38.6,283.7,Hatchback,9.2,415.8,5.9,4.0,1,0.19,8.6,5.2,5.6,2.2,5.5,7.1,0,High,282.8,52.7
24,31095.0,High School,Suburban,44.7,238.8,Sedan,2.0,338.1,3.4,12.5,1,0.16,4.4,7.4,3.2,9.5,1.9,4.2,0,Low,218.5,34.7
44,62418.0,Bachelor,Urban,13.6,96.4,Sedan,5.3,107.4,10.0,2.4,1,0.28,6.5,2.4,9.4,2.6,6.3,9.2,0,High,81.4,22.9
48,32363.0,Bachelor,Suburban,47.4,329.9,Hatchback,7.8,389.5,9.6,4.6,1,0.32,4.2,3.9,5.7,4.8,7.7,5.6,1,High,205.3,65.0
52,35517.0,PhD,Rural,65.2,504.2,Sedan,7.3,621.5,6.2,7.9,0,0.13,8.3,6.6,8.4,2.9,2.6,9.1,1,High,375.1,47.4
31,16391.0,High School,Urban,25.6,134.3,Truck,11.6,228.7,7.0,0.8,1,0.22,6.1,9.5,6.3,5.1,5.8,7.3,1,High,132.0,28.7
32,41114.0,Master,Suburban,64.0,419.9,Truck,5.9,597.1,6.8,11.1,1,0.11,9.0,6.7,5.1,3.6,6.1,6.1,0,High,426.8,45.3
21,33813.0,PhD,Rural,24.7,152.5,Hatchback,4.8,199.5,7.0,11.7,1,0.19,4.8,7.1,5.5,7.3,1.5,5.0,0,Medium,101.2,18.9
41,47338.0,Bachelor,Urban,15.0,119.6,SUV,6.5,94.4,7.8,0.5,0,0.11,7.8,7.9,8.4,3.8,1.9,9.4,0,High,89.0,9.8
39,102239.0,Master,Suburban,31.2,191.2,Sedan,8.6,271.9,5.7,4.4,1,0.29,6.9,1.8,9.7,2.1,4.7,8.4,0,High,151.5,43.7
69,16215.0,Bachelor,Suburban,34.3,243.9,Sedan,6.8,325.3,2.5,10.4,0,0.23,4.7,7.9,5.0,9.4,6.6,2.9,0,Low,206.2,47.6
69,40797.0,Bachelor,Rural,55.8,424.0,SUV,4.1,470.6,3.4,12.3,1,0.29,8.4,6.0,8.3,4.7,5.3,6.5,0,High,371.1,108.7
27,11570.0,Master,Urban,31.3,239.5,SUV,9.2,300.3,9.5,2.9,1,0.31,4.7,4.9,4.9,8.9,5.2,6.1,0,Medium,217.6,67.5
59,37823.0,Bachelor,Urban,30.0,199.2,Sedan,4.8,263.7,7.2,6.4,1,0.18,5.4,3.5,6.0,7.3,6.5,5.1,0,Medium,181.7,32.7
48,20680.0,High School,Suburban,57.1,337.6,Sedan,1.5,502.3,7.3,5.8,1,0.33,9.1,4.8,8.1,4.2,7.2,10.0,0,High,346.2,114.6
22,98141.0,High School,Suburban,58.4,325.0,SUV,9.0,532.8,1.7,8.7,0,0.18,9.7,2.8,9.7,5.7,6.5,10.0,0,High,259.2,47.9
27,49865.0,Master,Suburban,26.3,164.7,Sedan,7.9,220.5,4.8,8.6,1,0.25,7.6,3.7,9.9,4.5,3.9,9.4,0,High,165.9,41.1
30,33144.0,Bachelor,Suburban,7.8,59.5,Sedan,8.9,76.4,3.3,6.9,0,0.29,8.8,4.5,9.5,5.2,4.2,9.5,1,High,46.4,13.3
38,43588.0,Bachelor,Rural,22.6,130.1,SUV,4.2,175.8,7.6,12.9,1,0.17,3.4,9.9,3.3,8.4,6.2,2.3,0,Low,131.2,22.4
64,34618.0,PhD,Urban,43.6,242.1,Hatchback,7.0,366.8,8.9,10.8,1,0.3,4.2,5.8,2.8,9.2,5.0,4.0,0,Low,238.9,70.8
47,37627.0,Bachelor,Rural,32.9,238.4,Truck,0.8,264.9,4.6,10.4,1,0.19,6.3,5.6,9.2,3.2,5.9,10.0,0,High,168.9,32.8
48,25993.0,Bachelor,Rural,38.0,201.6,SUV,4.6,305.0,2.9,12.3,1,0.22,8.4,1.6,5.7,2.4,4.1,7.5,0,High,141.9,31.6
49,40338.0,Master,Suburban,23.9,190.1,SUV,11.4,247.8,6.8,17.4,1,0.2,6.2,8.0,5.3,6.6,7.5,6.4,0,Medium,138.5,27.7
64,48360.0,PhD,Suburban,13.3,77.4,SUV,0.0,96.2,8.9,3.1,1,0.31,7.9,1.0,7.9,3.5,6.1,6.6,0,High,73.3,22.5
23,29443.0,Bachelor,Suburban,55.6,350.3,Hatchback,2.8,510.1,6.2,3.2,1,0.32,4.5,6.1,4.6,9.8,4.0,5.8,0,Medium,220.1,70.2
27,20029.0,High School,Rural,53.1,296.0,Sedan,2.4,434.0,3.1,10.1,1,0.1,8.5,7.7,6.5,4.6,5.5,7.1,0,High,253.4,24.5
61,70059.0,Bachelor,Suburban,13.8,105.9,SUV,8.8,141.4,4.3,0.5,1,0.13,10.0,8.6,6.7,3.3,7.2,9.9,1,High,92.4,12.2
44,41473.0,PhD,Urban,20.6,131.0,Sedan,2.4,163.0,6.1,0.5,0,0.34,6.8,5.8,9.6,4.1,2.9,8.8,1,High,110.1,37.0
33,72245.0,Bachelor,Urban,61.0,430.2,SUV,5.7,578.3,6.4,6.4,0,0.14,9.2,2.4,6.4,4.6,5.7,6.8,0,High,373.6,52.3
37,25426.0,High School,Suburban,30.3,240.1,Truck,9.9,220.1,2.8,9.3,1,0.17,7.2,4.8,5.8,9.9,7.7,6.8,0,Low,182.3,31.5
51,26517.0,Master,Suburban,26.2,142.6,Truck,4.6,202.8,2.2,4.2,0,0.11,5.0,6.1,6.1,5.0,5.3,5.1,0,Low,100.2,10.7
41,43087.0,Bachelor,Urban,28.5,221.4,Hatchback,4.5,233.0,6.5,8.5,1,0.24,6.1,8.2,4.8,4.1,8.2,4.6,0,Medium,134.5,32.1
49,38818.0,Master,Urban,15.0,105.7,SUV,2.4,93.1,7.8,5.5,0,0.11,5.4,9.8,9.3,2.9,2.5,7.3,0,High,100.9,11.0
51,17647.0,High School,Urban,26.5,145.3,SUV,11.0,238.6,3.8,5.3,1,0.3,5.5,9.7,6.7,4.3,4.7,7.2,1,High,118.5,35.0
39,14042.0,Master,Urban,30.1,207.7,Hatchback,5.9,230.0,5.6,2.0,0,0.33,7.9,3.5,3.1,5.6,3.8,5.8,0,Low,155.5,52.0
51,55458.0,Bachelor,Suburban,23.3,180.3,Truck,6.1,169.0,3.9,13.9,1,0.3,9.5,5.0,5.1,2.6,5.1,7.5,1,High,148.6,43.9
29,71175.0,High School,Urban,32.4,176.4,Hatchback,4.8,331.5,9.1,6.7,1,0.31,8.6,6.1,9.3,5.6,6.0,8.4,1,High,179.5,55.2
62,63825.0,High School,Urban,33.7,225.3,SUV,5.9,268.5,6.8,5.5,1,0.27,4.7,6.0,3.7,9.8,6.5,3.2,0,Low,184.9,49.9
35,104128.0,Bachelor,Rural,35.1,255.0,SUV,7.5,246.9,5.8,11.3,1,0.11,7.3,5.7,8.5,3.7,1.4,6.3,1,High,197.2,20.7
29,13048.0,Bachelor,Urban,20.5,117.4,SUV,1.5,133.8,10.0,0.5,1,0.16,8.8,5.7,8.6,3.2,4.3,7.9,0,High,90.3,14.5
59,33236.0,Bachelor,Urban,26.3,157.9,SUV,5.7,214.1,10.0,2.9,0,0.25,4.5,5.2,6.9,5.8,1.8,5.3,1,High,146.2,36.4
25,43718.0,High School,Urban,27.2,214.8,Hatchback,5.2,229.6,7.7,5.0,0,0.3,6.8,7.6,4.4,6.3,3.8,5.4,0,High,181.1,54.1
63,40739.0,Bachelor,Suburban,42.2,294.9,SUV,3.9,356.4,3.1,14.3,1,0.08,5.6,5.6,4.2,6.2,4.5,3.7,0,Low,234.8,19.2
45,25223.0,Master,Rural,32.6,184.1,Sedan,9.6,228.3,5.3,11.5,1,0.25,5.1,8.6,4.2,9.2,2.7,4.3,0,Low,173.9,43.2
35,67424.0,Bachelor,Urban,42.2,229.5,SUV,5.7,378.8,9.1,0.5,1,0.34,5.3,7.1,9.7,2.9,4.2,7.6,0,High,150.2,51.1
21,86621.0,Bachelor,Suburban,20.2,123.0,Sedan,7.9,161.7,1.8,17.8,1,0.11,10.0,2.4,7.1,5.2,6.1,9.2,0,Medium,119.3,13.0
40,15324.0,High School,Suburban,16.8,89.8,Sedan,9.6,151.5,4.0,10.5,1,0.27,6.0,7.8,3.7,8.2,2.9,5.2,0,Medium,86.8,23.9
52,26254.0,High School,Suburban,52.6,410.4,Sedan,3.3,480.9,8.6,10.5,0,0.16,8.6,4.6,5.7,3.9,8.9,7.2,1,High,307.2,47.9
35,42628.0,High School,Urban,21.7,167.6,SUV,7.1,197.1,5.5,3.1,1,0.09,8.8,4.4,6.9,4.3,4.3,7.0,0,High,103.3,9.0
39,20611.0,Bachelor,Suburban,27.8,153.9,Sedan,7.9,206.1,5.1,9.9,0,0.25,9.9,6.5,6.2,3.8,7.8,8.4,0,High,121.1,30.6
50,38709.0,Master,Suburban,58.3,376.1,Hatchback,5.0,489.5,3.6,12.1,1,0.22,8.6,6.7,5.6,3.4,4.0,7.3,0,High,249.3,54.0
58,73669.0,Bachelor,Urban,34.1,212.7,Truck,4.7,261.6,9.5,0.5,1,0.23,8.4,4.4,9.6,3.0,9.8,9.7,0,High,168.3,38.0
42,43529.0,Bachelor,Suburban,42.2,308.9,Sedan,6.9,321.1,6.7,13.0,1,0.19,6.7,6.4,9.7,5.8,3.0,9.9,1,High,244.3,46.9
69,18428.0,Bachelor,Suburban,22.9,141.9,Sedan,4.4,161.3,6.9,11.4,0,0.14,2.5,3.3,2.3,7.9,2.8,1.3,0,Low,118.6,16.7
56,45825.0,High School,Urban,25.7,193.6,SUV,7.3,224.9,6.1,3.8,0,0.1,8.4,3.3,9.1,3.2,3.2,8.5,0,High,148.7,15.1
62,50870.0,PhD,Urban,26.2,179.6,Hatchback,4.0,256.6,6.0,0.7,0,0.11,3.6,4.2,4.2,6.3,3.5,4.7,0,Low,113.6,12.3
25,26662.0,Bachelor,Suburban,11.5,66.3,SUV,5.5,66.8,4.6,14.3,1,0.09,5.1,6.8,8.0,4.8,3.7,7.3,1,High,55.0,5.0
52,39871.0,Master,Urban,13.0,78.6,Hatchback,3.2,135.0,8.8,0.5,1,0.24,7.1,5.6,6.1,7.2,6.1,6.3,0,High,76.9,18.3
29,21645.0,Master,Urban,43.9,348.2,Sedan,6.5,389.7,4.8,0.5,1,0.17,9.5,7.2,6.0,2.2,5.1,7.2,0,High,244.9,42.0
62,12746.0,High School,Suburban,45.6,324.7,Sedan,4.2,360.7,4.5,17.7,0,0.23,4.1,6.3,5.7,5.3,4.1,6.0,0,Medium,294.1,66.3
48,36167.0,Master,Suburban,48.5,385.4,Sedan,5.2,410.3,7.5,9.3,0,0.28,4.2,7.3,4.7,5.4,7.6,4.3,0,Medium,339.9,96.2
64,34774.0,Bachelor,Urban,39.6,204.5,Sedan,6.6,312.3,6.6,0.5,1,0.2,5.5,5.9,2.0,6.3,4.6,3.8,0,Medium,184.1,37.5
33,34030.0,Bachelor,Urban,57.4,318.2,Hatchback,5.7,568.2,7.4,0.5,1,0.23,9.6,4.4,8.1,3.0,4.8,7.1,0,High,282.2,65.9
52,30548.0,Bachelor,Rural,38.6,265.8,Sedan,6.5,321.3,7.1,8.2,0,0.35,5.2,6.2,5.6,6.5,3.8,5.9,1,Medium,194.1,67.2
28,28218.0,Bachelor,Urban,26.4,151.4,Sedan,5.5,190.4,5.2,0.5,1,0.3,6.0,5.9,5.5,9.6,7.5,5.4,0,Low,101.6,30.5
35,33369.0,Bachelor,Rural,46.3,369.0,Hatchback,4.0,401.5,2.3,0.5,0,0.18,4.7,7.3,2.1,6.8,1.8,5.5,0,Low,344.9,63.8
29,22681.0,Master,Urban,17.7,92.1,SUV,3.8,180.4,7.6,5.5,1,0.3,4.7,3.7,6.4,9.1,3.2,4.8,1,Medium,71.0,21.0
43,37821.0,High School,Suburban,15.9,96.6,Truck,8.4,194.1,6.1,8.3,1,0.25,5.5,3.8,9.9,2.4,4.9,7.2,1,High,96.3,24.1
54,23367.0,Master,Suburban,23.8,161.1,Sedan,7.5,207.3,7.7,7.8,1,0.29,7.5,9.4,5.1,5.6,2.7,6.2,0,High,152.0,44.5
